ID,Name,Cost_for_one,Cuisines,Rating
42,"Frozen Bottle - Milkshakes, Desserts and Ice Cream",150, Healthy Food,4.1
43,Rolls On Wheels,150,North Indian,4.1
43,Rolls On Wheels,150, Rolls,4.1
43,Rolls On Wheels,150, Fast Food,4.1
43,Rolls On Wheels,150,North Indian,4.1
43,Rolls On Wheels,150, Rolls,4.1
43,Rolls On Wheels,150, Fast Food,4.1
557,Rolls On Wheels,200,North Indian,4.2
557,Rolls On Wheels,200, Rolls,4.2
557,Rolls On Wheels,200, Fast Food,4.2
557,Rolls On Wheels,200,North Indian,4.2
557,Rolls On Wheels,200, Rolls,4.2
557,Rolls On Wheels,200, Fast Food,4.2
44,Behrouz Biryani,150,Biryani,4.4
44,Behrouz Biryani,150, Kebab,4.4
44,Behrouz Biryani,150, Hyderabadi,4.4
44,Behrouz Biryani,150, Lucknowi,4.4
45,Amma's Pastries,50,Bakery,3.8
45,Amma's Pastries,50,Bakery,3.8
395,Amma's Pastries,250,Bakery,4
395,Amma's Pastries,250,Bakery,4
46,Mani's Dum Biryani,50,Biryani,4.1
46,Mani's Dum Biryani,50, Kebab,4.1
47,Sharief Bhai,50,Biryani,4
47,Sharief Bhai,50, Mughlai,4
47,Sharief Bhai,50, Kebab,4
47,Sharief Bhai,50, Afghan,4
47,Sharief Bhai,50, Street Food,4
47,Sharief Bhai,50, Beverages,4
47,Sharief Bhai,50, Desserts,4
48,Sri Udupi Food Hub,50,South Indian,4
48,Sri Udupi Food Hub,50, Chinese,4
49,Imperial Restaurant,50,Mughlai,3.9
49,Imperial Restaurant,50, North Indian,3.9
49,Imperial Restaurant,50, Biryani,3.9
49,Imperial Restaurant,50, Chinese,3.9
49,Imperial Restaurant,50, Seafood,3.9
49,Imperial Restaurant,50, Ice Cream,3.9
49,Imperial Restaurant,50, Desserts,3.9
49,Imperial Restaurant,50, Beverages,3.9
50,WarmOven Cake & Desserts,50,Bakery,4
50,WarmOven Cake & Desserts,50, Desserts,4
50,WarmOven Cake & Desserts,50, Ice Cream,4
50,WarmOven Cake & Desserts,50, Shake,4
51,Paakashala,50,North Indian,4.2
51,Paakashala,50, Chinese,4.2
51,Paakashala,50, Biryani,4.2
51,Paakashala,50, Desserts,4.2
51,Paakashala,50, Beverages,4.2
52,Asha Sweet Center,50,Mithai,4.5
53,Paradise Biryani,50,Biryani,3.8
53,Paradise Biryani,50, North Indian,3.8
53,Paradise Biryani,50, Kebab,3.8
54,Ambur Star Briyani Since 1890,50,Biryani,4.2
54,Ambur Star Briyani Since 1890,50, Chettinad,4.2
54,Ambur Star Briyani Since 1890,50, Chinese,4.2
54,Ambur Star Briyani Since 1890,50, North Indian,4.2
55,Truffles,50,Burger,4.4
55,Truffles,50, American,4.4
55,Truffles,50, Bakery,4.4
55,Truffles,50, Italian,4.4
55,Truffles,50, Oriental,4.4
55,Truffles,50, Continental,4.4
55,Truffles,50, Beverages,4.4
55,Truffles,50, Desserts,4.4
56,Dindigul Thalappakatti,50,Biryani,3.9
56,Dindigul Thalappakatti,50, North Indian,3.9
56,Dindigul Thalappakatti,50, South Indian,3.9
56,Dindigul Thalappakatti,50, Chinese,3.9
56,Dindigul Thalappakatti,50, Seafood,3.9
56,Dindigul Thalappakatti,50, Beverages,3.9
57,Chaayos Chai+Snacks=Relax,200,Tea,4.1
57,Chaayos Chai+Snacks=Relax,200, Beverages,4.1
58,The Belgian Waffle Co.,200,Waffle,4.4
58,The Belgian Waffle Co.,200, Pancake,4.4
58,The Belgian Waffle Co.,200, Desserts,4.4
58,The Belgian Waffle Co.,200, Beverages,4.4
58,The Belgian Waffle Co.,200, Ice Cream,4.4
59,Chinese Wok,200,Chinese,3.6
59,Chinese Wok,200, Momos,3.6
59,Chinese Wok,200, Sichuan,3.6
60,Glen's Bakehouse,200,Bakery,4.4
60,Glen's Bakehouse,200, Cafe,4.4
60,Glen's Bakehouse,200, Italian,4.4
60,Glen's Bakehouse,200, Continental,4.4
60,Glen's Bakehouse,200, Fast Food,4.4
60,Glen's Bakehouse,200, Beverages,4.4
60,Glen's Bakehouse,200, Desserts,4.4
61,Krispy Kreme,200,Desserts,4.5
61,Krispy Kreme,200, Beverages,4.5
62,Theobroma,200,Bakery,4.3
62,Theobroma,200, Desserts,4.3
62,Theobroma,200, Beverages,4.3
63,Pathaan Sir,200,Rolls,3.8
63,Pathaan Sir,200, Chinese,3.8
63,Pathaan Sir,200, Momos,3.8
64,Roti Ghar,200,North Indian,4.1
64,Roti Ghar,200, Chinese,4.1
64,Roti Ghar,200, South Indian,4.1
64,Roti Ghar,200, Street Food,4.1
64,Roti Ghar,200, Fast Food,4.1
64,Roti Ghar,200, Desserts,4.1
64,Roti Ghar,200, Shake,4.1
64,Roti Ghar,200, Beverages,4.1
