ID,Name,Location,Dining_Review,Delivery_Reviews
487,Kaippunnyam Restaurant,Brigade Road,0,198
488,Chakum Chukum Calcutta On A Roll,Indiranagar,185,2725
489,Beijing Bites,Frazer Town,274,4623
490,Royal Restaurant,Shivajinagar,225,23600
491,Narmada Chain of Restaurants,Frazer Town,0,0
492,Delicacy,Frazer Town,273,8278
493,7 Plates,Frazer Town,0,3115
494,Shanthi Sagar,Ulsoor,211,20000
495,Siddique Kabab Centre,Frazer Town,553,10000
496,Zwarma,Ulsoor,6,98
497,Shuchi Ruchi,Malleshwaram,367,8002
498,Al Zara Mandi Arabian Restaurant,Frazer Town,76,1760
499,Asha Food Camp,Malleshwaram,584,1959
500,Amul Icecream Parlour,Rajajinagar,1,293
501,Donne Biriyani House,Richmond Road,418,34900
502,Main Lassi Shop,Shivajinagar,0,7951
503,Chichaba's Taj,Frazer Town,553,4689
504,Karavali Family Restaurant,Brigade Road,28,948
505,Udupi Shanthi Sagar,Frazer Town,9,677
506,Al-Pizzalicious,Ulsoor,0,66
507,Green Onion,Residency Road,1369,1781
508,Shahi Family Restaurant,Ulsoor,409,12700
509,Taj Hotel,Shivajinagar,171,1751
510,Marwadi Chaat & Tiffin Services,Shanti Nagar,85,7495
511,Happy Platter,Rajajinagar,117,2571
512,Karama Restaurant,Frazer Town,4122,15200
513,Cake Pastries,Rajajinagar,0,468
514,Chung's Chinese Corner,Cunningham Road,244,640
515,Giani Icecream,Frazer Town,6,119
516,Sai Ram Juice And Chats,Malleshwaram,36,1488
517,Sri Maruthi Miltry Hotel,Rajajinagar,144,9534
518,Mr. Chow,Ulsoor,0,187
519,Chaat Point,Frazer Town,0,210
520,Azuki Japan Travel Bistro & Sake,Richmond Town,195,1071
521,Sai Cafe Veg,Malleshwaram,63,6597
522,Sheesh Kebab,Frazer Town,183,1889
523,Mane Holige Kuruku Thindi,Malleshwaram,0,54
524,Dock Frost'd,Koramangala 7th Block,0,342
525,The Baker's Dozen,Vasanth Nagar,0,55
526,Green Chilly,Rajajinagar,79,5132
527,Edesia by Freshmenu,Richmond Road,0,79
528,Davanagere Benne Dose,Jayanagar,0,377
529,Drunken Monkey,Rajajinagar,23,241
530,Big Wong,Indiranagar,0,2588
531,Haka,Koramangala 7th Block,0,599
532,Happy Belly Bakes,MG Road,210,691
533,Uff Urban Food Factory,Jayanagar,3,249
534,Venus Biryani,Domlur,147,9599
535,Odia Khaiba,Old Airport Road,24,1112
536,Food Manthra,Ulsoor,143,2924
537,The Hole In The Wall Cafe,Koramangala 4th Block,8060,5350
538,DA Ying Yang Cuisines,Vasanth Nagar,20,1585
539,Mr. Momo,Ulsoor,0,111
540,Lassi Shop,Frazer Town,2,246
541,Grand Foodies Restaurant,Vasanth Nagar,3,42
542,New Taj Biriyani,Domlur,3,92
543,Kabab Magic Roll,Richmond Road,12,1171
544,"Oki Poki - Sushi, Dimsum & More",Indiranagar,0,34
545,Hotel Bilal Biriyani Centre,Mysore Road,7,920
546,Uttara Karnataka Jolada Rotti mattu Chapati Angadi,Basavanagudi,4,455
547,Prowl Foods By Tiger Shroff,Indiranagar,0,156
548,Via Milano,La Marvella Hotel,149,147
549,Food Springs,Jayanagar,252,1102
550,Protein Chef,Indiranagar,0,44
551,3 Mangos,Frazer Town,0,400
552,Shree Ganesh Fruits Juice,Rajajinagar,1,384
553,Bombay Kulfi & Rabri,Shanti Nagar,0,214
554,Baba Ganoush Cafe,Frazer Town,17,127
555,Kanti Sweets,MG Road,2,244
556,Chickpet Donne Biryani House,Jayanagar,2,110
